SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
State or DC
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
06000,California,20,"        Jewelry and watches",5077.4,5480.7,6062.1,6577.8,6259.8,6762.0,7149.3,8328.0,8951.0,9140.4,9680.8,9258.7,7922.9,8268.5,9397.9,9883.2,9828.9,10049.7,10231.8,9969.1,10246.7,10773.4,11170.0,11044.7,15130.7,16129.2,15721.0
06000,California,21,"        Therapeutic appliances and equipment",2285.6,2480.9,2620.5,2752.2,2733.9,2901.5,3200.6,3534.7,3855.6,4215.8,4729.5,4628.2,4532.3,4617.5,4744.6,4831.0,4929.3,4979.6,5106.7,5274.8,5336.4,5697.2,6068.5,6023.0,7287.3,7893.4,8268.1
06000,California,22,"        Educational books",1674.6,1815.3,2019.0,2232.7,2301.2,2375.2,2485.9,2480.3,2426.7,2460.3,2327.0,2319.6,2283.9,2251.6,2155.7,2145.2,1997.9,1883.3,1801.9,1768.1,1617.3,1580.1,1497.4,1262.6,1578.5,1528.9,1535.2
06000,California,23,"        Luggage and similar personal items",1348.2,1479.6,1693.7,1931.7,1873.9,2065.0,2302.3,2620.4,3067.0,3468.4,3940.2,3932.1,3687.6,3986.7,4168.3,4498.8,4373.6,4575.7,4822.8,5071.4,5085.3,5217.4,5529.8,5197.3,6794.0,7731.8,8059.6
06000,California,24,"        Telephone and related communication equipment",553.8,632.5,732.3,902.5,920.2,928.3,1085.7,1189.6,1246.7,1511.7,1740.9,1904.2,2085.8,2356.5,2517.0,2859.1,2988.9,3397.8,3707.7,3409.3,3471.4,3637.2,3659.5,3243.2,3803.1,4129.1,4325.6
06000,California,25,"    Nondurable goods",143005.8,147026.7,158919.3,174327.9,180532.7,187215.8,197589.6,211751.4,225101.8,238824.4,252017.8,258692.4,240594.7,252956.1,271219.8,281768.9,287938.5,300466.8,306730.4,313241.3,329259.1,346728.2,360617.8,368124.2,423586.9,468637.6,481801.6
06000,California,26,"      Food and beverages purchased for off-premises consumption",54740.4,55894.6,60067.8,63729.8,67543.8,70223.1,73524.5,76543.9,80819.6,85079.4,91047.3,93860.8,91365.9,93128.4,97511.0,100959.9,104612.8,110768.0,117646.6,119943.9,124449.1,129117.9,134936.4,150383.4,163305.7,177096.8,183446.5
06000,California,27,"        Food and nonalcoholic beverages purchased for off-premises consumption",47542.3,48323.5,51746.2,54414.5,57506.7,59563.1,62653.1,65369.9,69259.3,72758.4,78055.6,80940.0,78848.4,80028.1,84073.8,87037.3,90180.0,95278.1,100745.3,102134.5,105744.5,109392.3,114203.3,126283.7,136959.5,149542.1,154945.7
06000,California,28,"        Alcoholic beverages purchased for off-premises consumption",7180.3,7554.4,8305.9,9300.6,10023.0,10648.3,10862.4,11150.9,11525.1,12266.5,12947.8,12888.6,12502.0,13076.4,13415.2,13903.8,14407.5,15464.8,16839.7,17760.4,18646.6,19667.3,20669.6,24030.0,26278.9,27488.9,28449.4
06000,California,29,"        Food produced and consumed on farms",17.7,16.7,15.7,14.7,14.1,11.7,9.0,23.1,35.2,54.5,43.9,32.1,15.6,23.9,22.0,18.8,25.4,25.2,61.5,49.1,58.0,58.3,63.5,69.8,67.3,65.8,51.5
06000,California,30,"      Clothing and footwear",31139.5,32705.9,34579.0,36807.8,35660.3,37103.2,37943.3,41906.5,44349.6,43824.3,44720.4,43414.6,39237.2,41307.5,44344.7,47226.9,48259.7,51157.3,53479.4,55302.5,58742.3,60837.3,63052.4,54925.2,70068.4,75771.3,77801.4
06000,California,31,"        Garments",25622.4,26882.9,28401.8,30259.6,29256.7,30415.1,31039.8,34208.8,35978.4,35335.4,35899.4,34690.1,31329.9,32894.7,35187.7,37368.4,37978.7,40182.3,41883.3,43074.7,45669.8,47161.5,48777.9,42303.4,53968.1,58583.0,60142.8
06000,California,32,"          Women's and girls' clothing",14322.5,15142.1,16214.6,17533.2,17054.2,17856.8,18310.7,20483.8,21673.3,21317.3,21823.6,20910.0,18716.6,19718.8,21182.1,22566.2,22733.9,23888.3,24675.1,25249.5,26670.0,27732.4,28733.1,25000.7,31961.3,34613.4,35432.6
06000,California,33,"          Men's and boys' clothing",10212.2,10579.1,10941.7,11370.2,10799.0,11073.9,11136.3,11966.4,12361.4,11946.1,11873.0,11543.9,10502.1,11020.4,11833.7,12647.7,13013.1,13891.8,14616.5,15126.3,16134.5,16580.0,17141.5,14747.0,18822.7,20543.8,21263.2
06000,California,34,"          Children's and infants' clothing",1087.7,1161.7,1245.5,1356.1,1403.5,1484.4,1592.9,1758.6,1943.7,2072.0,2202.8,2236.2,2111.2,2155.6,2172.0,2154.6,2231.7,2402.2,2591.7,2698.9,2865.4,2849.1,2903.3,2555.7,3184.1,3425.8,3447.0
06000,California,35,"        Other clothing materials and footwear",5517.1,5823.0,6177.3,6548.3,6403.6,6688.0,6903.5,7697.7,8371.3,8488.9,8821.1,8724.6,7907.2,8412.8,9157.0,9858.5,10281.0,10975.0,11596.1,12227.8,13072.5,13675.8,14274.5,12621.8,16100.3,17188.3,17658.6
06000,California,36,"      Gasoline and other energy goods",14764.2,13074.9,14222.6,17690.6,17281.8,17089.0,19682.0,24041.5,28049.9,31754.8,33805.4,38767.9,27748.6,32357.0,40722.5,41923.3,41054.1,39962.2,31167.4,29293.9,34377.9,39199.5,38629.2,28359.8,42857.4,56647.4,51440.9
06000,California,37,"        Motor vehicle fuels, lubricants, and fluids",14248.3,12646.7,13691.7,16952.8,16511.4,16392.1,18922.9,23095.5,26937.7,30526.0,32504.8,37221.1,26636.0,31227.8,39536.5,40878.9,39898.0,38699.2,30093.4,28337.7,33172.9,37950.0,37430.3,27397.0,41426.1,54633.2,49784.2
06000,California,38,"        Fuel oil and other fuels",515.8,428.1,530.9,737.8,770.3,696.9,759.0,945.9,1112.2,1228.8,1300.6,1546.8,1112.7,1129.2,1186.0,1044.3,1156.1,1263.0,1073.9,956.2,1205.0,1249.5,1198.9,962.7,1431.3,2014.2,1656.7
06000,California,39,"      Other nondurable goods",42361.7,45351.3,50049.9,56099.7,60046.9,62800.6,66439.8,69259.4,71882.7,78165.8,82444.7,82649.1,82243.0,86163.1,88641.5,91658.8,94011.9,98579.2,104437.1,108700.9,111689.7,117573.5,123999.8,134455.8,147355.5,159122.2,169112.8
06000,California,40,"        Pharmaceutical and other medical products",10941.4,12597.0,14550.2,17002.3,19746.1,21885.5,24096.5,25332.3,26050.9,29397.9,31951.3,32709.5,33205.4,35062.7,36470.4,38113.7,39049.2,41399.4,44001.4,45935.1,46662.9,49349.7,52707.0,56062.2,58000.6,63345.2,69264.1
06000,California,41,"        Recreational items",8545.7,9035.6,9650.8,10473.4,10888.5,11173.3,11552.4,11969.2,12583.9,13385.5,13811.6,13728.5,13183.3,13602.2,13999.6,14635.9,15289.7,16339.1,17560.9,18326.4,19075.6,19915.2,21020.9,23920.3,28929.7,31778.0,33411.7
06000,California,42,"        Household supplies",8515.5,8747.9,9358.0,9883.7,10439.8,10845.4,11346.9,11641.5,12329.6,13141.4,13354.2,13166.4,12896.2,13320.7,13558.7,14108.5,14248.4,14665.2,15187.6,15365.3,15582.2,16117.9,16692.8,18205.5,20042.3,21809.5,22464.0
06000,California,43,"        Personal care products",6399.4,6754.4,7237.0,7966.3,8401.9,8718.9,9268.2,9751.3,10157.1,10917.3,11755.2,11985.5,11557.9,12234.2,12695.7,13089.6,13360.9,13597.9,14127.2,14652.4,14936.1,15704.7,16327.6,17015.4,19493.5,21175.6,22282.3
06000,California,44,"        Tobacco",4220.4,4384.3,5110.6,5458.0,5705.7,5870.8,5870.9,5938.2,6050.4,6397.0,6592.4,6515.3,7187.5,7447.4,7362.7,7189.2,7331.2,7629.1,8321.5,8886.7,9366.2,9485.5,9541.1,9963.4,10341.9,10190.4,9829.7
06000,California,45,"        Magazines, newspapers, and stationery",3739.3,3832.3,4143.4,5316.0,4864.9,4306.8,4304.9,4627.0,4710.7,4926.8,4980.1,4543.8,4212.7,4495.9,4554.3,4522.0,4732.5,4948.3,5238.5,5535.1,6066.7,7000.4,7710.4,9289.0,10547.4,10823.6,11861.0
06000,California,47,"  Services",457694.0,484959.6,515590.7,556756.3,587755.3,612928.5,649127.3,692435.0,744380.5,797739.7,853847.0,900811.8,893435.6,921053.3,953773.8,990521.6,1025482.1,1075187.8,1133305.3,1194023.8,1257189.5,1333647.5,1401263.4,1333820.4,1499813.1,1658389.3,1796482.9
06000,California,48,"    Household consumption expenditures (for services)",447612.0,474578.2,503036.6,541195.0,568642.7,589966.0,626727.5,671634.7,723406.1,773077.2,823647.1,866932.3,860001.0,886717.3,917248.2,949482.3,983269.3,1032075.0,1087715.8,1142589.9,1206824.9,1276493.8,1344711.2,1265708.9,1434790.8,1581253.3,1715790.2
06000,California,49,"      Housing and utilities",137234.3,145180.2,153273.6,163129.9,175168.6,181125.6,188914.6,199697.2,215038.7,226875.8,240203.9,261567.6,265945.7,271102.5,274147.1,279656.9,288814.8,297417.6,305353.5,318600.2,334705.6,351010.9,368043.3,388261.7,409559.3,442297.5,474923.5
06000,California,50,"        Housing",119910.1,127612.6,135240.4,143752.0,154364.5,160687.5,167033.3,176732.5,189838.3,200084.1,212317.3,232269.0,237695.1,241826.6,244731.6,249556.9,256860.7,265063.2,273194.5,285067.9,298463.0,313423.8,329081.8,347504.7,365009.1,391748.4,422907.6
06000,California,51,"          Rental of tenant-occupied nonfarm housing",40298.8,42322.8,44255.8,46300.5,49287.7,50741.8,51723.8,54482.6,58355.7,61570.9,65868.4,70405.5,72130.3,75400.0,77298.7,81330.6,83275.1,86805.6,89990.3,93394.5,95304.1,100219.8,106863.2,109192.7,115318.7,122285.2,130650.5
06000,California,52,"          Imputed rental of owner-occupied nonfarm housing",78853.3,84499.5,90124.6,96427.4,104031.7,108907.5,114255.4,120961.6,130148.3,137406.6,145264.9,160462.1,163895.7,164690.9,165682.1,166518.8,171857.3,176408.5,181187.3,189879.0,201328.4,211057.8,220452.8,236487.0,247874.6,267429.5,290044.7
06000,California,53,"          Rental value of farm dwellings",664.0,697.6,740.0,902.3,915.7,926.3,911.4,1165.2,1207.3,963.2,1025.4,1228.1,1476.1,1548.1,1537.4,1470.2,1398.5,1465.8,1634.7,1443.7,1509.2,1801.6,1418.2,1535.0,1575.4,1748.7,1885.8
06000,California,54,"          Group housing",94.1,92.7,120.0,121.8,129.4,111.9,142.8,123.1,127.0,143.4,158.6,173.3,193.0,187.6,213.4,237.2,329.8,383.4,382.2,350.8,321.3,344.5,347.6,290.0,240.4,284.9,326.7
06000,California,55,"        Household utilities",17324.2,17567.7,18033.3,19377.9,20804.1,20438.2,21881.3,22964.7,25200.4,26791.7,27886.7,29298.6,28250.6,29275.8,29415.5,30100.0,31954.1,32354.4,32159.0,33532.3,36242.6,37587.1,38961.5,40757.0,44550.2,50549.1,52015.8
